courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,832,Sa,16.30,-,19.30,,T17/4,0,อ.ดร.จิรเกียรติ ทรายทอง,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,833,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.เชฏฐา ชำนาญหล่อ,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,834,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.เพ็ญสุดา พันฤทธิ์ดำ,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,835,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.สิรางค์ กลั่นคำสอน,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,836,Sa,16.30,-,19.30,,T17/4,0,ผศ.จักรินทร์ กลั่นเงิน,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,837,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.ประภาพรรณ เกษราพงศ์,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,838,Sa,16.30,-,19.30,,T17/4,0,ผศ.นันทวุฒิ ศรีอริยวัฒน์,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,839,Sa,16.30,-,19.30,,T17/4,0,อ.ธนพันธ์ คงทอง,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,840,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.ชัยวัฒน์ นุ่มทอง,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,841,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.นัฏฐวิกา จันทร์ศรี,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,842,Sa,16.30,-,19.30,,T17/4,0,ผศ.ดร.ฐิติกร พัตนพิบูล,,-,,,,,,
03602495,03602495-60,Industrial and Systems Engineering Project Preparation,1(0-3-2),,,,,,,,,T17/4,,1,3,843,Sa,16.30,-,19.30,,T17/4,0,อ.ดร.จันจิิรา คงชื่นใจ,,-,,,,,,
