courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,841,Th,13.00,-,16.00,,T17/3,6,ผศ.ดร.สมภพ จรุงธรรมโชติ,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,842,Th,13.00,-,16.00,,T17/3,6,รศ.ดร.สมพล สกุลหลง,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,843,Th,13.00,-,16.00,,T17/3,6,ผศ.ดร.บุญธรรม วงศ์ไชย,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,844,Th,13.00,-,16.00,,T17/3,6,อ.ดร.มานิดา ทองรุน,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,845,Th,13.00,-,16.00,,T17/3,6,อ.ดร.สืบสกุล คุรุรัตน์,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,846,Th,13.00,-,16.00,,T17/3,6,อ.ดร.รัฐพล สาครสินธุ์,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,847,Th,13.00,-,16.00,,T17/3,6,Dr.Rodolphe Perrin,,03604222 หรือ 03604201,,,,,,
03604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,848,Th,13.00,-,16.00,,T17/3,6,อ.ดร.อบ นิลผาย,,03604222 หรือ 03604201,,,,,,
03604382,03604382-55,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,830,Th,9.00,-,12.00,,T13(*),6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,830,Th,9.00,-,12.00,,T13/3,6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,831,Th,9.00,-,12.00,,T13/3,6,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,832,Th,9.00,-,12.00,,T13/3,6,อ.ดร.สุจินต์ วันชาติ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,833,Th,9.00,-,12.00,,T13/3,6,ผศ.ดร.รจนา ประไพนพ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,834,Th,9.00,-,12.00,,T13/3,6,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,835,Th,9.00,-,12.00,,T13/3,6,รศ.ดร.ปรณัฐ วิสุวรรณ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,836,Th,9.00,-,12.00,,T13/3,6,อ.พุฒิพงษ์ ขุนทรง,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,837,Th,9.00,-,12.00,,T13/3,6,รศ.ดร.สถาพร เชื้อเพ็ง,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,838,Th,9.00,-,12.00,,T13/3,6,อ.ดร.พงศกร บำรุงไทย,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,839,Th,9.00,-,12.00,,T13/3,6,อ.ดร.ศักดิ์ดา ธงชาย,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,840,Th,9.00,-,12.00,,T13/3,6,อ.ดร.กรัณย์ เส็งพานิช,,03604341 หรือ 03604202,,,,,,
03604382,03604382-55,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,841,Th,13.00,-,16.00,,T13(*),6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,841,Th,13.00,-,16.00,,T13/3,6,ผศ.ดร.กิตติพงษ์ เยาวาจา,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,842,Th,13.00,-,16.00,,T13/3,6,รศ.ดร.ณัฐพล จันทร์พาณิชย์,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,843,Th,13.00,-,16.00,,T13/3,6,อ.ดร.สุจินต์ วันชาติ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,844,Th,13.00,-,16.00,,T13/3,6,ผศ.ดร.รจนา ประไพนพ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,845,Th,13.00,-,16.00,,T13/3,6,ผศ.ดร.สุภัทร พัฒน์วิชัยโชติ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,846,Th,13.00,-,16.00,,T13/3,6,รศ.ดร.ปรณัฐ วิสุวรรณ,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,847,Th,13.00,-,16.00,,T13/3,6,อ.พุฒิพงษ์ ขุนทรง,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,848,Th,13.00,-,16.00,,T13/3,6,รศ.ดร.สถาพร เชื้อเพ็ง,,03604341 หรือ 03604202,,,,,,
03604382,03604382-60,Mechanical Engineering Laboratory II,1(0-3-2),,,,,,,,,,,1,3,849,Th,13.00,-,16.00,,T13/3,6,อ.ดร.พงศกร บำรุงไทย,,03604341 หรือ 03604202,,,,,,
