รหัสวิชา,รหัสวิชา-พ.ศ.หลักสูตร,ชื่อวิชา,บรรยาย,,,,,,,,,,,ปฎิบัติ,,,,,,,,,,อาจารย์,,วิชาพื้นฐาน,จำนวนชั่วโมงที่จัดสอบ,การจัดสอบกลางภาค,,การจัดสอบปลายภาค,,หมายเหตุ
,,,หน่วยกิต,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,หน่วย,จำนวน ชม.,หมู่,วัน,เริ่ม,-,สิ้นสุด,ห้อง,สาขา,จำนวน,,CODE-อาจารย์-1,,,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,ส่วนกลางจัดสอบ,จัดสอบเองนอกตาราง,
3604281,03604281-60,Workshop Practice,1(0-3-2),,,,,,,,,,,1,3,833,F,9,-,12,150304,T13/2,50,อ.ดร.อบ นิลผาย,,-,,,,,,
3604281,03604281-60,Workshop Practice,1(0-3-2),,,,,,,,,,,1,3,834,M,9,-,12,150304,"M01/2,M03/2",50,"อ.ดร.ศักดา ธงชาย, ทีปกร แก้วสอางค์",,-,,,,,,
3604321,03604321-60,Mechanics of Machinery,3(3-0-6),3,3,800,F,9,-,12,,T13/3,60,,,,,,,,,,,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,"03604222 หรือ 03604201
",,,,,,
3604323,03604323-60,Engineering Measurements,3(3-0-6),3,3,800,Tu,13,-,16,,T13/3,120,,,,,,,,,,,ผศ.ดร.กิตติพงษ์ เยาวาจา / อ.ดร.พงศกร บำรุงไทย,,1417267,,,,,,
3604333,03604333-60,Vehicle System Design,3(2-3-6),2,2,800,W,14,-,16,,T13/3,50,1,3,830,W,16,-,19,Lab Com 1,T13/3,50,อ.ดร.มานิดา ทองรุน,,3604211,,,,,,
3604341,03604341-60,Thermodynamics II,3(3-0-6),3,3,800,Tu,9,-,12,,T13/3,80,,,,,,,,,,,ผศ.ดร.รจนา ประไพนพ,,3604241,,,,,,
3604322,03604322-60,Mechanical Vibration,3(3-0-6),3,3,800,M,9,-,12,,T13/3,100,,,,,,,,,,,ผศ.ดร.บุญธรรม วงศ์ไชย,,1417267,,,,,,
3604351,03604351-60,Heat Transfer,3(3-0-6),3,3,800,F,13,-,16,,"T13/3, T18/4-8",100,,,,,,,,,,,ผศ.ดร.สมภพ จรุงธรรมโชติ,,1417267,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,830,Th,9,-,12,,T17/3,6,ผศ.ดร.ประทีป ชัยเสริมเทวัญ,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,831,Th,9,-,12,,T17/3,6,ผศ.ดร.สมภพ จรุงธรรมโชติ,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,832,Th,9,-,12,,T17/3,6,รศ.ดร.สมพล สกุลหลง,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,833,Th,9,-,12,,T17/3,6,ผศ.ดร.บุญธรรม วงศ์ไชย,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,834,Th,9,-,12,,T17/3,6,อ.ดร.มานิดา ทองรุน,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,835,Th,9,-,12,,T17/3,6,อ.ดร.สืบสกุล คุรุรัตน์,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,836,Th,9,-,12,,T17/3,6,อ.ดร.รัฐพล สาครสินธุ์,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,837,Th,9,-,12,,T17/3,6,Dr.Rodolphe Perrin,,03604222 หรือ 03604201,,,,,,
3604381,03604381-60,Mechanical Engineering Laboratory I,1(0-3-2),,,,,,,,,,,1,3,838,Th,9,-,12,,T17/3,6,อ.ดร.อบ นิลผาย,,03604222 หรือ 03604201,,,,,,
