courseID,courseYear,title,credit,unit_D,hr_D,sec_D,day_D,start_D,dat1,end_D,room_D,major_D,number_D,unit_P,hr_P,sec_P,day_P,start_P,dat2,end_P,room_P,major_P,number_P,teacher,codeTeacher,subjectBefore,testTime,central_M,decentral_M,central_F,decentral_F,note
03601315,03601315-60,Digital Signal Processing Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,W,16.30,-,19.30,Lab EE,T14/4,15,ผศ. ดร. สุภัทรชัย ชมพันธุ์,,03601314 หรือพร้อมกัน,,,,,,,
03601331,03601331-60,Electronics Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,W,9.00,-,12.00,Lab EE,"T14/3,4",32,ผศ. ดร. สาริณี อุ่ยตระกูล,,03601231,,,,,,,
03601331,03601331-60,Electronics Laboratory,1(0-3-2),,,,,,,,,,,1,3,831,W,13.00,-,16.00,Lab EE,"T14/3,4",32,ผศ. ดร. สาริณี อุ่ยตระกูล,,03601231,,,,,,,
03601331,03601331-60,Electronics Laboratory,1(0-3-2),,,,,,,,,,,1,3,832,F,9.00,-,12.00,Lab EE,"T14/3,4",32,ผศ. ดร. สาริณี อุ่ยตระกูล,,03601231,,,,,,,
03601332,03601332-60,Microprocessors,3(3-0-6),3,3,800,Th,13.00,-,16.00,,"T14/3,4",110,,,,,,,,,,,รศ.ดร.ไพโรจน์ ทองประศรี,,03601232,,,,,,,
03601333,03601333-60,Microprocessors Laboratory,1(0-3-2),,,,,,,,,,,1,3,830,F,13.00,-,16.00,Lab EE,T14/4,15,รศ.ดร.ไพโรจน์ ทองประศรี,,03601332 หรือพร้อมกัน,,,,,,,
03601336,03601336-60,Electronic Circuit Design,3(3-0-6),3,3,800,W,13.00,-,16.00,,"T14/3,4",40,,,,,,,,,,,อ.ดร.ณัฐพล บุณยภักดี,,03601231,,,,,,,
03601351,03601351-60,Electromechanical Energy Conversion II,3(3-0-6),3,3,800,Tu,9.00,-,12.00,,"T14/3,4",70,,,,,,,,,,,รศ. ดร. ปรีชานนท์ คุ้มกระทึก,,03601251,,,,,,,
03601352,03601352-60,Electromechanical Energy Conversion Laboratory II,1(0-3-2),,,,,,,,,,,1,3,830,Th,13.00,-,16.00,Lab EE,T14/4,12,ผศ. ดร. ศิริชัย วัฒนาโสภณ,,03601351,,,,,,,
03601352,03601352-60,Electromechanical Energy Conversion Laboratory II,1(0-3-2),,,,,,,,,,,1,3,831,Th,13.00,-,16.00,Lab EE,T14/4,12,ผศ. ดร. สาริณี อุ่ยตระกูล,,03601351,,,,,,,
